TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W53;CH040;Y80T84;F;P;20
2020-W53;CH040;Y80T84;M;P;16
2020-W53;CH040;Y85T89;T;P;77
2020-W53;CH040;Y85T89;F;P;47
2020-W53;CH040;Y85T89;M;P;30
2020-W53;CH040;Y_GE90;T;P;108
2020-W53;CH040;Y_GE90;F;P;76
2020-W53;CH040;Y_GE90;M;P;32
2020-W53;CH051;_T;T;P;5
2020-W53;CH051;_T;F;P;4
2020-W53;CH051;_T;M;P;1
2020-W53;CH051;Y60T64;T;P;1
2020-W53;CH051;Y60T64;F;P;1
2020-W53;CH051;Y85T89;T;P;1
2020-W53;CH051;Y85T89;F;P;1
2020-W53;CH051;Y_GE90;T;P;3
2020-W53;CH051;Y_GE90;F;P;2
2020-W53;CH051;Y_GE90;M;P;1
2020-W53;CH052;_T;T;P;18
2020-W53;CH052;_T;F;P;8
2020-W53;CH052;_T;M;P;10
2020-W53;CH052;Y55T59;T;P;1
2020-W53;CH052;Y55T59;M;P;1
2020-W53;CH052;Y60T64;T;P;1
2020-W53;CH052;Y60T64;F;P;1
2020-W53;CH052;Y70T74;T;P;2
2020-W53;CH052;Y70T74;F;P;1
2020-W53;CH052;Y70T74;M;P;1
2020-W53;CH052;Y75T79;T;P;4
2020-W53;CH052;Y75T79;F;P;2
2020-W53;CH052;Y75T79;M;P;2
2020-W53;CH052;Y80T84;T;P;2
2020-W53;CH052;Y80T84;F;P;1
2020-W53;CH052;Y80T84;M;P;1
2020-W53;CH052;Y85T89;T;P;3
2020-W53;CH052;Y85T89;F;P;1
2020-W53;CH052;Y85T89;M;P;2
2020-W53;CH052;Y_GE90;T;P;5
2020-W53;CH052;Y_GE90;F;P;2
2020-W53;CH052;Y_GE90;M;P;3
2020-W53;CH053;_T;T;P;15
2020-W53;CH053;_T;F;P;5
2020-W53;CH053;_T;M;P;10
2020-W53;CH053;Y60T64;T;P;1
2020-W53;CH053;Y60T64;M;P;1
2020-W53;CH053;Y65T69;T;P;2
2020-W53;CH053;Y65T69;F;P;1
2020-W53;CH053;Y65T69;M;P;1
2020-W53;CH053;Y70T74;T;P;1
2020-W53;CH053;Y70T74;M;P;1
2020-W53;CH053;Y75T79;T;P;2
2020-W53;CH053;Y75T79;F;P;1
2020-W53;CH053;Y75T79;M;P;1
2020-W53;CH053;Y80T84;T;P;7
2020-W53;CH053;Y80T84;F;P;2
2020-W53;CH053;Y80T84;M;P;5
2020-W53;CH053;Y_GE90;T;P;2
2020-W53;CH053;Y_GE90;F;P;1
2020-W53;CH053;Y_GE90;M;P;1
2020-W53;CH055;_T;T;P;142
2020-W53;CH055;_T;F;P;80
2020-W53;CH055;_T;M;P;62
2020-W53;CH055;Y25T29;T;P;1
2020-W53;CH055;Y25T29;M;P;1
2020-W53;CH055;Y55T59;T;P;3
2020-W53;CH055;Y55T59;F;P;2
2020-W53;CH055;Y55T59;M;P;1
2020-W53;CH055;Y60T64;T;P;3
2020-W53;CH055;Y60T64;F;P;2
2020-W53;CH055;Y60T64;M;P;1
2020-W53;CH055;Y65T69;T;P;5
2020-W53;CH055;Y65T69;F;P;2
2020-W53;CH055;Y65T69;M;P;3
2020-W53;CH055;Y70T74;T;P;16
2020-W53;CH055;Y70T74;F;P;3
2020-W53;CH055;Y70T74;M;P;13
2020-W53;CH055;Y75T79;T;P;17
2020-W53;CH055;Y75T79;F;P;5
2020-W53;CH055;Y75T79;M;P;12
2020-W53;CH055;Y80T84;T;P;24
2020-W53;CH055;Y80T84;F;P;13
2020-W53;CH055;Y80T84;M;P;11
2020-W53;CH055;Y85T89;T;P;32
2020-W53;CH055;Y85T89;F;P;19
2020-W53;CH055;Y85T89;M;P;13
2020-W53;CH055;Y_GE90;T;P;41
2020-W53;CH055;Y_GE90;F;P;34
2020-W53;CH055;Y_GE90;M;P;7
2020-W53;CH056;_T;T;P;40
2020-W53;CH056;_T;F;P;22
2020-W53;CH056;_T;M;P;18
2020-W53;CH056;Y65T69;T;P;1
2020-W53;CH056;Y65T69;M;P;1
2020-W53;CH056;Y70T74;T;P;5
2020-W53;CH056;Y70T74;M;P;5
2020-W53;CH056;Y75T79;T;P;5
2020-W53;CH056;Y75T79;F;P;4
2020-W53;CH056;Y75T79;M;P;1
2020-W53;CH056;Y80T84;T;P;5
2020-W53;CH056;Y80T84;F;P;4
2020-W53;CH056;Y80T84;M;P;1
2020-W53;CH056;Y85T89;T;P;9
2020-W53;CH056;Y85T89;F;P;3
2020-W53;CH056;Y85T89;M;P;6
2020-W53;CH056;Y_GE90;T;P;15
2020-W53;CH056;Y_GE90;F;P;11
2020-W53;CH056;Y_GE90;M;P;4
2020-W53;CH057;_T;T;P;69
2020-W53;CH057;_T;F;P;36
2020-W53;CH057;_T;M;P;33
2020-W53;CH057;Y35T39;T;P;1
2020-W53;CH057;Y35T39;F;P;1
2020-W53;CH057;Y65T69;T;P;1
2020-W53;CH057;Y65T69;M;P;1
2020-W53;CH057;Y70T74;T;P;3
2020-W53;CH057;Y70T74;F;P;2
2020-W53;CH057;Y70T74;M;P;1
2020-W53;CH057;Y75T79;T;P;11
2020-W53;CH057;Y75T79;F;P;2
2020-W53;CH057;Y75T79;M;P;9
2020-W53;CH057;Y80T84;T;P;7
2020-W53;CH057;Y80T84;M;P;7
2020-W53;CH057;Y85T89;T;P;19
2020-W53;CH057;Y85T89;F;P;10
2020-W53;CH057;Y85T89;M;P;9
2020-W53;CH057;Y_GE90;T;P;27
2020-W53;CH057;Y_GE90;F;P;21
2020-W53;CH057;Y_GE90;M;P;6
2020-W53;CH061;_T;T;P;91
2020-W53;CH061;_T;F;P;40
2020-W53;CH061;_T;M;P;51
2020-W53;CH061;Y40T44;T;P;2
2020-W53;CH061;Y40T44;F;P;1
2020-W53;CH061;Y40T44;M;P;1
2020-W53;CH061;Y45T49;T;P;1
2020-W53;CH061;Y45T49;M;P;1
2020-W53;CH061;Y50T54;T;P;3
2020-W53;CH061;Y50T54;M;P;3
2020-W53;CH061;Y60T64;T;P;7
2020-W53;CH061;Y60T64;F;P;3
2020-W53;CH061;Y60T64;M;P;4
2020-W53;CH061;Y65T69;T;P;3
2020-W53;CH061;Y65T69;M;P;3
2020-W53;CH061;Y70T74;T;P;9
2020-W53;CH061;Y70T74;F;P;3
