"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2021-W01";"CH023";"Y45T49";"T";"P";2
"2021-W01";"CH023";"Y45T49";"F";"P";1
"2021-W01";"CH023";"Y45T49";"M";"P";1
"2021-W01";"CH023";"Y55T59";"T";"P";1
"2021-W01";"CH023";"Y55T59";"M";"P";1
"2021-W01";"CH023";"Y60T64";"T";"P";4
"2021-W01";"CH023";"Y60T64";"F";"P";2
"2021-W01";"CH023";"Y60T64";"M";"P";2
"2021-W01";"CH023";"Y65T69";"T";"P";2
"2021-W01";"CH023";"Y65T69";"M";"P";2
"2021-W01";"CH023";"Y70T74";"T";"P";6
"2021-W01";"CH023";"Y70T74";"F";"P";3
"2021-W01";"CH023";"Y70T74";"M";"P";3
"2021-W01";"CH023";"Y75T79";"T";"P";6
"2021-W01";"CH023";"Y75T79";"F";"P";3
"2021-W01";"CH023";"Y75T79";"M";"P";3
"2021-W01";"CH023";"Y80T84";"T";"P";8
"2021-W01";"CH023";"Y80T84";"F";"P";7
"2021-W01";"CH023";"Y80T84";"M";"P";1
"2021-W01";"CH023";"Y85T89";"T";"P";24
"2021-W01";"CH023";"Y85T89";"F";"P";9
"2021-W01";"CH023";"Y85T89";"M";"P";15
"2021-W01";"CH023";"Y_GE90";"T";"P";28
"2021-W01";"CH023";"Y_GE90";"F";"P";19
"2021-W01";"CH023";"Y_GE90";"M";"P";9
"2021-W01";"CH024";"_T";"T";"P";34
"2021-W01";"CH024";"_T";"F";"P";21
"2021-W01";"CH024";"_T";"M";"P";13
"2021-W01";"CH024";"Y45T49";"T";"P";1
"2021-W01";"CH024";"Y45T49";"M";"P";1
"2021-W01";"CH024";"Y50T54";"T";"P";1
"2021-W01";"CH024";"Y50T54";"F";"P";1
"2021-W01";"CH024";"Y70T74";"T";"P";2
"2021-W01";"CH024";"Y70T74";"F";"P";2
"2021-W01";"CH024";"Y75T79";"T";"P";2
"2021-W01";"CH024";"Y75T79";"F";"P";1
"2021-W01";"CH024";"Y75T79";"M";"P";1
"2021-W01";"CH024";"Y80T84";"T";"P";7
"2021-W01";"CH024";"Y80T84";"F";"P";4
"2021-W01";"CH024";"Y80T84";"M";"P";3
"2021-W01";"CH024";"Y85T89";"T";"P";4
"2021-W01";"CH024";"Y85T89";"F";"P";2
"2021-W01";"CH024";"Y85T89";"M";"P";2
"2021-W01";"CH024";"Y_GE90";"T";"P";17
"2021-W01";"CH024";"Y_GE90";"F";"P";11
"2021-W01";"CH024";"Y_GE90";"M";"P";6
"2021-W01";"CH025";"_T";"T";"P";24
"2021-W01";"CH025";"_T";"F";"P";13
"2021-W01";"CH025";"_T";"M";"P";11
"2021-W01";"CH025";"Y65T69";"T";"P";3
"2021-W01";"CH025";"Y65T69";"F";"P";1
"2021-W01";"CH025";"Y65T69";"M";"P";2
"2021-W01";"CH025";"Y70T74";"T";"P";3
"2021-W01";"CH025";"Y70T74";"F";"P";1
"2021-W01";"CH025";"Y70T74";"M";"P";2
"2021-W01";"CH025";"Y75T79";"T";"P";3
"2021-W01";"CH025";"Y75T79";"F";"P";1
"2021-W01";"CH025";"Y75T79";"M";"P";2
"2021-W01";"CH025";"Y80T84";"T";"P";3
"2021-W01";"CH025";"Y80T84";"F";"P";2
"2021-W01";"CH025";"Y80T84";"M";"P";1
"2021-W01";"CH025";"Y85T89";"T";"P";5
"2021-W01";"CH025";"Y85T89";"F";"P";1
"2021-W01";"CH025";"Y85T89";"M";"P";4
"2021-W01";"CH025";"Y_GE90";"T";"P";7
"2021-W01";"CH025";"Y_GE90";"F";"P";7
"2021-W01";"CH031";"_T";"T";"P";54
"2021-W01";"CH031";"_T";"F";"P";29
"2021-W01";"CH031";"_T";"M";"P";25
"2021-W01";"CH031";"Y0T4";"T";"P";1
"2021-W01";"CH031";"Y0T4";"M";"P";1
"2021-W01";"CH031";"Y30T34";"T";"P";2
"2021-W01";"CH031";"Y30T34";"F";"P";1
"2021-W01";"CH031";"Y30T34";"M";"P";1
"2021-W01";"CH031";"Y55T59";"T";"P";4
"2021-W01";"CH031";"Y55T59";"F";"P";3
"2021-W01";"CH031";"Y55T59";"M";"P";1
"2021-W01";"CH031";"Y60T64";"T";"P";1
"2021-W01";"CH031";"Y60T64";"M";"P";1
"2021-W01";"CH031";"Y65T69";"T";"P";3
"2021-W01";"CH031";"Y65T69";"F";"P";1
"2021-W01";"CH031";"Y65T69";"M";"P";2
"2021-W01";"CH031";"Y70T74";"T";"P";1
"2021-W01";"CH031";"Y70T74";"M";"P";1
"2021-W01";"CH031";"Y75T79";"T";"P";6
"2021-W01";"CH031";"Y75T79";"F";"P";4
"2021-W01";"CH031";"Y75T79";"M";"P";2
"2021-W01";"CH031";"Y80T84";"T";"P";8
"2021-W01";"CH031";"Y80T84";"F";"P";2
"2021-W01";"CH031";"Y80T84";"M";"P";6
"2021-W01";"CH031";"Y85T89";"T";"P";7
"2021-W01";"CH031";"Y85T89";"F";"P";5
"2021-W01";"CH031";"Y85T89";"M";"P";2
"2021-W01";"CH031";"Y_GE90";"T";"P";21
"2021-W01";"CH031";"Y_GE90";"F";"P";13
"2021-W01";"CH031";"Y_GE90";"M";"P";8
"2021-W01";"CH032";"_T";"T";"P";64
"2021-W01";"CH032";"_T";"F";"P";26
"2021-W01";"CH032";"_T";"M";"P";38
"2021-W01";"CH032";"Y45T49";"T";"P";1
"2021-W01";"CH032";"Y45T49";"F";"P";1
"2021-W01";"CH032";"Y55T59";"T";"P";2
"2021-W01";"CH032";"Y55T59";"F";"P";1
"2021-W01";"CH032";"Y55T59";"M";"P";1
"2021-W01";"CH032";"Y60T64";"T";"P";3
"2021-W01";"CH032";"Y60T64";"F";"P";1
"2021-W01";"CH032";"Y60T64";"M";"P";2
"2021-W01";"CH032";"Y65T69";"T";"P";1
"2021-W01";"CH032";"Y65T69";"M";"P";1
"2021-W01";"CH032";"Y70T74";"T";"P";2
"2021-W01";"CH032";"Y70T74";"M";"P";2
"2021-W01";"CH032";"Y75T79";"T";"P";9
"2021-W01";"CH032";"Y75T79";"F";"P";2
"2021-W01";"CH032";"Y75T79";"M";"P";7
"2021-W01";"CH032";"Y80T84";"T";"P";11
"2021-W01";"CH032";"Y80T84";"F";"P";4
"2021-W01";"CH032";"Y80T84";"M";"P";7
"2021-W01";"CH032";"Y85T89";"T";"P";17
"2021-W01";"CH032";"Y85T89";"F";"P";9
"2021-W01";"CH032";"Y85T89";"M";"P";8
"2021-W01";"CH032";"Y_GE90";"T";"P";18
"2021-W01";"CH032";"Y_GE90";"F";"P";8
"2021-W01";"CH032";"Y_GE90";"M";"P";10
"2021-W01";"CH033";"_T";"T";"P";154
"2021-W01";"CH033";"_T";"F";"P";86
"2021-W01";"CH033";"_T";"M";"P";68
"2021-W01";"CH033";"Y15T19";"T";"P";1
"2021-W01";"CH033";"Y15T19";"F";"P";1
"2021-W01";"CH033";"Y30T34";"T";"P";1
"2021-W01";"CH033";"Y30T34";"M";"P";1
"2021-W01";"CH033";"Y35T39";"T";"P";1
"2021-W01";"CH033";"Y35T39";"F";"P";1
"2021-W01";"CH033";"Y45T49";"T";"P";1
"2021-W01";"CH033";"Y45T49";"M";"P";1
"2021-W01";"CH033";"Y50T54";"T";"P";6
"2021-W01";"CH033";"Y50T54";"F";"P";2
"2021-W01";"CH033";"Y50T54";"M";"P";4
"2021-W01";"CH033";"Y55T59";"T";"P";7
"2021-W01";"CH033";"Y55T59";"F";"P";2
"2021-W01";"CH033";"Y55T59";"M";"P";5
"2021-W01";"CH033";"Y60T64";"T";"P";6
"2021-W01";"CH033";"Y60T64";"F";"P";2
"2021-W01";"CH033";"Y60T64";"M";"P";4
"2021-W01";"CH033";"Y65T69";"T";"P";3
"2021-W01";"CH033";"Y65T69";"F";"P";1
"2021-W01";"CH033";"Y65T69";"M";"P";2
