TIME_PERIOD;GEO;AGE;SEX;OBS_STATUS;OBS_VALUE
2022-W01;CH033;Y0T4;T;P;1
2022-W01;CH033;Y0T4;F;P;1
2022-W01;CH033;Y25T29;T;P;1
2022-W01;CH033;Y25T29;M;P;1
2022-W01;CH033;Y30T34;T;P;1
2022-W01;CH033;Y30T34;M;P;1
2022-W01;CH033;Y45T49;T;P;1
2022-W01;CH033;Y45T49;F;P;1
2022-W01;CH033;Y55T59;T;P;2
2022-W01;CH033;Y55T59;M;P;2
2022-W01;CH033;Y60T64;T;P;2
2022-W01;CH033;Y60T64;F;P;2
2022-W01;CH033;Y65T69;T;P;6
2022-W01;CH033;Y65T69;F;P;3
2022-W01;CH033;Y65T69;M;P;3
2022-W01;CH033;Y70T74;T;P;8
2022-W01;CH033;Y70T74;F;P;3
2022-W01;CH033;Y70T74;M;P;5
2022-W01;CH033;Y75T79;T;P;13
2022-W01;CH033;Y75T79;F;P;4
2022-W01;CH033;Y75T79;M;P;9
2022-W01;CH033;Y80T84;T;P;17
2022-W01;CH033;Y80T84;F;P;4
2022-W01;CH033;Y80T84;M;P;13
2022-W01;CH033;Y85T89;T;P;19
2022-W01;CH033;Y85T89;F;P;11
2022-W01;CH033;Y85T89;M;P;8
2022-W01;CH033;Y_GE90;T;P;28
2022-W01;CH033;Y_GE90;F;P;19
2022-W01;CH033;Y_GE90;M;P;9
2022-W01;CH040;_T;T;P;217
2022-W01;CH040;_T;F;P;121
2022-W01;CH040;_T;M;P;96
2022-W01;CH040;Y0T4;T;P;1
2022-W01;CH040;Y0T4;F;P;1
2022-W01;CH040;Y30T34;T;P;1
2022-W01;CH040;Y30T34;F;P;1
2022-W01;CH040;Y35T39;T;P;1
2022-W01;CH040;Y35T39;M;P;1
2022-W01;CH040;Y45T49;T;P;2
2022-W01;CH040;Y45T49;F;P;2
2022-W01;CH040;Y50T54;T;P;5
2022-W01;CH040;Y50T54;M;P;5
2022-W01;CH040;Y55T59;T;P;7
2022-W01;CH040;Y55T59;F;P;3
2022-W01;CH040;Y55T59;M;P;4
2022-W01;CH040;Y60T64;T;P;6
2022-W01;CH040;Y60T64;F;P;4
2022-W01;CH040;Y60T64;M;P;2
2022-W01;CH040;Y65T69;T;P;10
2022-W01;CH040;Y65T69;F;P;6
2022-W01;CH040;Y65T69;M;P;4
2022-W01;CH040;Y70T74;T;P;19
2022-W01;CH040;Y70T74;F;P;9
2022-W01;CH040;Y70T74;M;P;10
2022-W01;CH040;Y75T79;T;P;29
2022-W01;CH040;Y75T79;F;P;13
2022-W01;CH040;Y75T79;M;P;16
2022-W01;CH040;Y80T84;T;P;29
2022-W01;CH040;Y80T84;F;P;17
2022-W01;CH040;Y80T84;M;P;12
2022-W01;CH040;Y85T89;T;P;45
2022-W01;CH040;Y85T89;F;P;28
2022-W01;CH040;Y85T89;M;P;17
2022-W01;CH040;Y_GE90;T;P;62
2022-W01;CH040;Y_GE90;F;P;37
2022-W01;CH040;Y_GE90;M;P;25
2022-W01;CH051;_T;T;P;4
2022-W01;CH051;_T;F;P;2
2022-W01;CH051;_T;M;P;2
2022-W01;CH051;Y80T84;T;P;1
2022-W01;CH051;Y80T84;M;P;1
2022-W01;CH051;Y85T89;T;P;2
2022-W01;CH051;Y85T89;F;P;2
2022-W01;CH051;Y_GE90;T;P;1
2022-W01;CH051;Y_GE90;M;P;1
2022-W01;CH052;_T;T;P;19
2022-W01;CH052;_T;F;P;6
2022-W01;CH052;_T;M;P;13
2022-W01;CH052;Y65T69;T;P;2
2022-W01;CH052;Y65T69;M;P;2
2022-W01;CH052;Y70T74;T;P;2
2022-W01;CH052;Y70T74;M;P;2
2022-W01;CH052;Y75T79;T;P;4
2022-W01;CH052;Y75T79;F;P;3
2022-W01;CH052;Y75T79;M;P;1
