from,to,title,group,value
3,459,Corona Transition,2021,2
51,460,Hessisches Ärzteblatt,Hessisches Ärzteblatt,2
11,460,Hessisches Ärzteblatt,2020,2
462,461,Nau,Nau,2
3,461,Nau,2021,2
6,463,tp - Science & Technology,tp - Science & Technology,2
3,463,tp - Science & Technology,2021,2
43,464,medinside.ch,medinside.ch,2
11,464,medinside.ch,2020,2
27,465,Die Ostschweiz,Die Ostschweiz,2
3,465,Die Ostschweiz,2021,2
10,466,Wochenblick,Wochenblick,2
3,466,Wochenblick,2021,2
468,467,aargau-zuerich.ch,aargau-zuerich.ch,2
3,467,aargau-zuerich.ch,2021,2
10,469,Wochenblick,Wochenblick,2
3,469,Wochenblick,2021,2
49,470,reitschuster,reitschuster,2
3,470,reitschuster,2021,2
10,471,Wochenblick,Wochenblick,2
3,471,Wochenblick,2021,2
46,472,NZZ,NZZ,2
3,472,NZZ,2021,2
43,473,medinside.ch,medinside.ch,2
3,473,medinside.ch,2021,2
23,474,Tagesanzeiger,Tagesanzeiger,2
11,474,Tagesanzeiger,2020,2
49,475,reitschuster,reitschuster,2
3,475,reitschuster,2021,2
19,476,Epoch Times,Epoch Times,2
3,476,Epoch Times,2021,2
49,477,reitschuster,reitschuster,2
3,477,reitschuster,2021,2
49,478,reitschuster,reitschuster,2
3,478,reitschuster,2021,2
37,479,Corona Transition,Corona Transition,2
3,479,Corona Transition,2021,2
84,480,2020 News,2020 News,2
3,480,2020 News,2021,2
92,481,Focus Online,Focus Online,2
3,481,Focus Online,2021,2
8,482,RT DE,RT DE,2
11,482,RT DE,2020,2
268,483,SRF,SRF,2
11,483,SRF,2020,2
397,484,Weltwoche,Weltwoche,2
11,484,Weltwoche,2020,2
37,485,Corona Transition,Corona Transition,2
3,485,Corona Transition,2021,2
6,486,tp - Science & Technology,tp - Science & Technology,2
3,486,tp - Science & Technology,2021,2
54,487,Tichys Einblick,Tichys Einblick,2
3,487,Tichys Einblick,2021,2
37,488,Corona Transition,Corona Transition,2
3,488,Corona Transition,2021,2
27,489,Die Ostschweiz,Die Ostschweiz,2
3,489,Die Ostschweiz,2021,2
491,490,WHO,WHO,2
11,490,WHO,2020,2
37,492,Corona Transition,Corona Transition,2
3,492,Corona Transition,2021,2
27,493,Die Ostschweiz,Die Ostschweiz,2
3,493,Die Ostschweiz,2021,2
84,494,2020 News,2020 News,2
11,494,2020 News,2020,2
27,495,Die Ostschweiz,Die Ostschweiz,2
3,495,Die Ostschweiz,2021,2
497,496,World Health Organization,World Health Organization,2
11,496,World Health Organization,2020,2
131,498,linth24,linth24,2
3,498,linth24,2021,2
131,499,linth24,linth24,2
11,499,linth24,2020,2
501,500,infekt.ch,infekt.ch,2
3,500,infekt.ch,2021,2
99,502,Telepolis,Telepolis,2
3,502,Telepolis,2021,2
99,503,Telepolis,Telepolis,2
3,503,Telepolis,2021,2
145,504,Nordkurier,Nordkurier,2
11,504,Nordkurier,2020,2
30,505,NachDenkSeiten,NachDenkSeiten,2
11,505,NachDenkSeiten,2020,2
84,506,2020 News,2020 News,2
11,506,2020 News,2020,2
10,507,Wochenblick,Wochenblick,2
3,507,Wochenblick,2021,2
41,508,Report24,Report24,2
3,508,Report24,2021,2
510,509,"Universitätsklinika in Freiburg, Heidelberg, Tübingen und Ulm","Universitätsklinika in Freiburg, Heidelberg, Tübingen und Ulm",2
3,509,"Universitätsklinika in Freiburg, Heidelberg, Tübingen und Ulm",2021,2
512,511,ntv,ntv,2
3,511,ntv,2021,2
2,513,ScienceFiles,ScienceFiles,2
3,513,ScienceFiles,2021,2
2,514,ScienceFiles,ScienceFiles,2
3,514,ScienceFiles,2021,2
286,515,Swissmedic,Swissmedic,2
3,515,Swissmedic,2021,2
121,516,Unser Mitteleuropa,Unser Mitteleuropa,2
3,516,Unser Mitteleuropa,2021,2
39,517,multipolar,multipolar,2
3,517,multipolar,2021,2
313,518,tagblatt.ch,tagblatt.ch,2
3,518,tagblatt.ch,2021,2
27,519,Die Ostschweiz,Die Ostschweiz,2
3,519,Die Ostschweiz,2021,2
37,520,Corona Transition,Corona Transition,2
3,520,Corona Transition,2021,2
19,521,Epoch Times,Epoch Times,2
3,521,Epoch Times,2021,2
30,522,NachDenkSeiten,NachDenkSeiten,2
11,522,NachDenkSeiten,2020,2
6,523,tp - Science & Technology,tp - Science & Technology,2
3,523,tp - Science & Technology,2021,2
6,524,tp - Science & Technology,tp - Science & Technology,2
3,524,tp - Science & Technology,2021,2
10,525,Wochenblick,Wochenblick,2
3,525,Wochenblick,2021,2
6,526,tp - Science & Technology,tp - Science & Technology,2
3,526,tp - Science & Technology,2021,2
6,527,tp - Science & Technology,tp - Science & Technology,2
3,527,tp - Science & Technology,2021,2
159,528,Weltwoche daily,Weltwoche daily,2
3,528,Weltwoche daily,2021,2
8,529,RT DE,RT DE,2
3,529,RT DE,2021,2
49,530,reitschuster,reitschuster,2
3,530,reitschuster,2021,2
6,531,tp - Science & Technology,tp - Science & Technology,2
3,531,tp - Science & Technology,2021,2
37,532,Corona Transition,Corona Transition,2
3,532,Corona Transition,2021,2
49,533,reitschuster,reitschuster,2
3,533,reitschuster,2021,2
94,534,substack.com,substack.com,2
3,534,substack.com,2021,2
8,535,RT DE,RT DE,2
3,535,RT DE,2021,2
268,536,SRF,SRF,2
11,536,SRF,2020,2
268,537,SRF,SRF,2
3,537,SRF,2021,2
512,538,ntv,ntv,2
3,538,ntv,2021,2
109,539,Berliner Zeitung,Berliner Zeitung,2
3,539,Berliner Zeitung,2021,2
10,540,Wochenblick,Wochenblick,2
3,540,Wochenblick,2021,2
512,541,ntv,ntv,2
3,541,ntv,2021,2
72,542,Die Welt,Die Welt,2
3,542,Die Welt,2021,2
19,543,Epoch Times,Epoch Times,2
3,543,Epoch Times,2021,2
19,544,Epoch Times,Epoch Times,2
3,544,Epoch Times,2021,2
8,545,RT DE,RT DE,2
3,545,RT DE,2021,2
72,546,Die Welt,Die Welt,2
11,546,Die Welt,2020,2
72,547,Die Welt,Die Welt,2
3,547,Die Welt,2021,2
183,548,corona-blog.net,corona-blog.net,2
3,548,corona-blog.net,2021,2
41,549,Report24,Report24,2
3,549,Report24,2021,2
512,550,ntv,ntv,2
3,550,ntv,2021,2
552,551,World Freedom Alliance,World Freedom Alliance,2
11,551,World Freedom Alliance,2020,2
10,553,Wochenblick,Wochenblick,2
3,553,Wochenblick,2021,2
10,554,Wochenblick,Wochenblick,2
3,554,Wochenblick,2021,2
159,555,Weltwoche daily,Weltwoche daily,2
3,555,Weltwoche daily,2021,2
501,556,infekt.ch,infekt.ch,2
3,556,infekt.ch,2021,2
558,557,Research Square,Research Square,2
3,557,Research Square,2021,2
131,559,linth24,linth24,2
3,559,linth24,2021,2
288,560,Deutsches Ärzteblatt,Deutsches Ärzteblatt,2
3,560,Deutsches Ärzteblatt,2021,2
49,561,reitschuster,reitschuster,2
3,561,reitschuster,2021,2
563,562,Marty McKay,Marty McKay,2
3,562,Marty McKay,2021,2
6,564,tp - Science & Technology,tp - Science & Technology,2
3,564,tp - Science & Technology,2021,2
109,565,Berliner Zeitung,Berliner Zeitung,2
3,565,Berliner Zeitung,2021,2
567,566,National Institute of Allergy and Infectious Diseases,National Institute of Allergy and Infectious Diseases,2
307,566,National Institute of Allergy and Infectious Diseases,2019,2
268,568,SRF,SRF,2
11,568,SRF,2020,2
82,569,In$ide Paradeplatz,In$ide Paradeplatz,2
3,569,In$ide Paradeplatz,2021,2
39,570,multipolar,multipolar,2
11,570,multipolar,2020,2
10,571,Wochenblick,Wochenblick,2
3,571,Wochenblick,2021,2
92,572,Focus Online,Focus Online,2
11,572,Focus Online,2020,2
23,573,Tagesanzeiger,Tagesanzeiger,2
3,573,Tagesanzeiger,2021,2
30,574,NachDenkSeiten,NachDenkSeiten,2
3,574,NachDenkSeiten,2021,2
16,575,Rubikon,Rubikon,2
11,575,Rubikon,2020,2
72,576,Die Welt,Die Welt,2
3,576,Die Welt,2021,2
49,577,reitschuster,reitschuster,2
3,577,reitschuster,2021,2
99,578,Telepolis,Telepolis,2
11,578,Telepolis,2020,2
37,579,Corona Transition,Corona Transition,2
3,579,Corona Transition,2021,2
497,580,World Health Organization,World Health Organization,2
11,580,World Health Organization,2020,2
6,581,tp - Science & Technology,tp - Science & Technology,2
3,581,tp - Science & Technology,2021,2
80,582,INFOsperber,INFOsperber,2
11,582,INFOsperber,2020,2
16,583,Rubikon,Rubikon,2
11,583,Rubikon,2020,2
27,584,Die Ostschweiz,Die Ostschweiz,2
3,584,Die Ostschweiz,2021,2
23,585,Tagesanzeiger,Tagesanzeiger,2
3,585,Tagesanzeiger,2021,2
27,586,Die Ostschweiz,Die Ostschweiz,2
3,586,Die Ostschweiz,2021,2
109,587,Berliner Zeitung,Berliner Zeitung,2
11,587,Berliner Zeitung,2020,2
10,588,Wochenblick,Wochenblick,2
3,588,Wochenblick,2021,2
590,589,Unzensuriert,Unzensuriert,2
11,589,Unzensuriert,2020,2
27,591,Die Ostschweiz,Die Ostschweiz,2
3,591,Die Ostschweiz,2021,2
446,592,Deutschlandfunk,Deutschlandfunk,2
3,592,Deutschlandfunk,2021,2
6,593,tp - Science & Technology,tp - Science & Technology,2
3,593,tp - Science & Technology,2021,2
109,594,Berliner Zeitung,Berliner Zeitung,2
3,594,Berliner Zeitung,2021,2
19,595,Epoch Times,Epoch Times,2
3,595,Epoch Times,2021,2
16,596,Rubikon,Rubikon,2
3,596,Rubikon,2021,2
30,597,NachDenkSeiten,NachDenkSeiten,2
3,597,NachDenkSeiten,2021,2
19,598,Epoch Times,Epoch Times,2
3,598,Epoch Times,2021,2
8,599,RT DE,RT DE,2
3,599,RT DE,2021,2
46,600,NZZ,NZZ,2
3,600,NZZ,2021,2
6,601,tp - Science & Technology,tp - Science & Technology,2
3,601,tp - Science & Technology,2021,2
104,602,Youtube,Youtube,2
11,602,Youtube,2020,2
10,603,Wochenblick,Wochenblick,2
3,603,Wochenblick,2021,2
54,604,Tichys Einblick,Tichys Einblick,2
3,604,Tichys Einblick,2021,2
131,605,linth24,linth24,2
11,605,linth24,2020,2
19,606,Epoch Times,Epoch Times,2
3,606,Epoch Times,2021,2
37,607,Corona Transition,Corona Transition,2
3,607,Corona Transition,2021,2
10,608,Wochenblick,Wochenblick,2
3,608,Wochenblick,2021,2
512,609,ntv,ntv,2
3,609,ntv,2021,2
121,610,Unser Mitteleuropa,Unser Mitteleuropa,2
3,610,Unser Mitteleuropa,2021,2
10,611,Wochenblick,Wochenblick,2
3,611,Wochenblick,2021,2
19,612,Epoch Times,Epoch Times,2
3,612,Epoch Times,2021,2
10,613,Wochenblick,Wochenblick,2
3,613,Wochenblick,2021,2
109,614,Berliner Zeitung,Berliner Zeitung,2
3,614,Berliner Zeitung,2021,2
49,615,reitschuster,reitschuster,2
3,615,reitschuster,2021,2
617,616,Kinder-Maskenpetition,Kinder-Maskenpetition,2
3,616,Kinder-Maskenpetition,2021,2
27,618,Die Ostschweiz,Die Ostschweiz,2
3,618,Die Ostschweiz,2021,2
6,619,tp - Science & Technology,tp - Science & Technology,2
3,619,tp - Science & Technology,2021,2
80,620,INFOsperber,INFOsperber,2
3,620,INFOsperber,2021,2
30,621,NachDenkSeiten,NachDenkSeiten,2
11,621,NachDenkSeiten,2020,2
23,622,Tagesanzeiger,Tagesanzeiger,2
11,622,Tagesanzeiger,2020,2
27,623,Die Ostschweiz,Die Ostschweiz,2
3,623,Die Ostschweiz,2021,2
6,624,tp - Science & Technology,tp - Science & Technology,2
3,624,tp - Science & Technology,2021,2
99,625,Telepolis,Telepolis,2
11,625,Telepolis,2020,2
497,626,World Health Organization,World Health Organization,2
11,626,World Health Organization,2020,2
6,627,tp - Science & Technology,tp - Science & Technology,2
3,627,tp - Science & Technology,2021,2
512,628,ntv,ntv,2
3,628,ntv,2021,2
268,629,SRF,SRF,2
11,629,SRF,2020,2
37,630,Corona Transition,Corona Transition,2
3,630,Corona Transition,2021,2
16,631,Rubikon,Rubikon,2
11,631,Rubikon,2020,2
10,632,Wochenblick,Wochenblick,2
3,632,Wochenblick,2021,2
49,633,reitschuster,reitschuster,2
3,633,reitschuster,2021,2
72,634,Die Welt,Die Welt,2
3,634,Die Welt,2021,2
636,635,Das Schweizer Parlament,Das Schweizer Parlament,2
3,635,Das Schweizer Parlament,2021,2
131,637,linth24,linth24,2
3,637,linth24,2021,2
639,638,SVP Kanton Zürich,SVP Kanton Zürich,2
3,638,SVP Kanton Zürich,2021,2
49,640,reitschuster,reitschuster,2
11,640,reitschuster,2020,2
27,641,Die Ostschweiz,Die Ostschweiz,2
3,641,Die Ostschweiz,2021,2
462,642,Nau,Nau,2
3,642,Nau,2021,2
39,643,multipolar,multipolar,2
3,643,multipolar,2021,2
645,644,Journal of Virology,Journal of Virology,2
307,644,Journal of Virology,2019,2
10,646,Wochenblick,Wochenblick,2
11,646,Wochenblick,2020,2
8,647,RT DE,RT DE,2
3,647,RT DE,2021,2
41,648,Report24,Report24,2
3,648,Report24,2021,2
19,649,Epoch Times,Epoch Times,2
3,649,Epoch Times,2021,2
10,650,Wochenblick,Wochenblick,2
3,650,Wochenblick,2021,2
13,651,Achgut.com,Achgut.com,2
3,651,Achgut.com,2021,2
131,652,linth24,linth24,2
11,652,linth24,2020,2
8,653,RT DE,RT DE,2
3,653,RT DE,2021,2
13,654,Achgut.com,Achgut.com,2
3,654,Achgut.com,2021,2
41,655,Report24,Report24,2
3,655,Report24,2021,2
657,656,Vimeo,Vimeo,2
11,656,Vimeo,2020,2
10,658,Wochenblick,Wochenblick,2
3,658,Wochenblick,2021,2
660,659,SVP Schweiz,SVP Schweiz,2
3,659,SVP Schweiz,2021,2
159,661,Weltwoche daily,Weltwoche daily,2
3,661,Weltwoche daily,2021,2
663,662,Beobachter,Beobachter,2
11,662,Beobachter,2020,2
37,664,Corona Transition,Corona Transition,2
3,664,Corona Transition,2021,2
10,665,Wochenblick,Wochenblick,2
3,665,Wochenblick,2021,2
27,666,Die Ostschweiz,Die Ostschweiz,2
11,666,Die Ostschweiz,2020,2
288,667,Deutsches Ärzteblatt,Deutsches Ärzteblatt,2
11,667,Deutsches Ärzteblatt,2020,2
8,668,RT DE,RT DE,2
3,668,RT DE,2021,2
82,669,In$ide Paradeplatz,In$ide Paradeplatz,2
3,669,In$ide Paradeplatz,2021,2
27,670,Die Ostschweiz,Die Ostschweiz,2
3,670,Die Ostschweiz,2021,2
80,671,INFOsperber,INFOsperber,2
11,671,INFOsperber,2020,2
37,672,Corona Transition,Corona Transition,2
3,672,Corona Transition,2021,2
2,673,ScienceFiles,ScienceFiles,2
3,673,ScienceFiles,2021,2
92,674,Focus Online,Focus Online,2
3,674,Focus Online,2021,2
41,675,Report24,Report24,2
3,675,Report24,2021,2
16,676,Rubikon,Rubikon,2
3,676,Rubikon,2021,2
6,677,tp - Science & Technology,tp - Science & Technology,2
3,677,tp - Science & Technology,2021,2
220,678,ZE!TPUNKT,ZE!TPUNKT,2
11,678,ZE!TPUNKT,2020,2
2,679,ScienceFiles,ScienceFiles,2
3,679,ScienceFiles,2021,2
19,680,Epoch Times,Epoch Times,2
3,680,Epoch Times,2021,2
39,681,multipolar,multipolar,2
11,681,multipolar,2020,2
313,682,tagblatt.ch,tagblatt.ch,2
3,682,tagblatt.ch,2021,2
30,683,NachDenkSeiten,NachDenkSeiten,2
3,683,NachDenkSeiten,2021,2
41,684,Report24,Report24,2
3,684,Report24,2021,2
6,685,tp - Science & Technology,tp - Science & Technology,2
3,685,tp - Science & Technology,2021,2
687,686,Sebastian Friebel,Sebastian Friebel,2
11,686,Sebastian Friebel,2020,2
37,688,Corona Transition,Corona Transition,2
3,688,Corona Transition,2021,2
41,689,Report24,Report24,2
3,689,Report24,2021,2
6,690,tp - Science & Technology,tp - Science & Technology,2
3,690,tp - Science & Technology,2021,2
27,691,Die Ostschweiz,Die Ostschweiz,2
3,691,Die Ostschweiz,2021,2
16,692,Rubikon,Rubikon,2
11,692,Rubikon,2020,2
43,693,medinside.ch,medinside.ch,2
11,693,medinside.ch,2020,2
6,694,tp - Science & Technology,tp - Science & Technology,2
3,694,tp - Science & Technology,2021,2
92,695,Focus Online,Focus Online,2
3,695,Focus Online,2021,2
6,696,tp - Science & Technology,tp - Science & Technology,2
3,696,tp - Science & Technology,2021,2
2,697,ScienceFiles,ScienceFiles,2
3,697,ScienceFiles,2021,2
19,698,Epoch Times,Epoch Times,2
3,698,Epoch Times,2021,2
37,699,Corona Transition,Corona Transition,2
3,699,Corona Transition,2021,2
2,700,ScienceFiles,ScienceFiles,2
3,700,ScienceFiles,2021,2
6,701,tp - Science & Technology,tp - Science & Technology,2
3,701,tp - Science & Technology,2021,2
19,702,Epoch Times,Epoch Times,2
3,702,Epoch Times,2021,2
104,703,Youtube,Youtube,2
11,703,Youtube,2020,2
27,704,Die Ostschweiz,Die Ostschweiz,2
3,704,Die Ostschweiz,2021,2
512,705,ntv,ntv,2
3,705,ntv,2021,2
46,706,NZZ,NZZ,2
3,706,NZZ,2021,2
19,707,Epoch Times,Epoch Times,2
3,707,Epoch Times,2021,2
49,708,reitschuster,reitschuster,2
3,708,reitschuster,2021,2
710,709,bitchute,bitchute,2
11,709,bitchute,2020,2
6,711,tp - Science & Technology,tp - Science & Technology,2
3,711,tp - Science & Technology,2021,2
713,712,Netflix,Netflix,2
307,712,Netflix,2019,2
13,714,Achgut.com,Achgut.com,2
3,714,Achgut.com,2021,2
27,715,Die Ostschweiz,Die Ostschweiz,2
3,715,Die Ostschweiz,2021,2
8,716,RT DE,RT DE,2
11,716,RT DE,2020,2
497,717,World Health Organization,World Health Organization,2
11,717,World Health Organization,2020,2
2,718,ScienceFiles,ScienceFiles,2
3,718,ScienceFiles,2021,2
10,719,Wochenblick,Wochenblick,2
3,719,Wochenblick,2021,2
46,720,NZZ,NZZ,2
3,720,NZZ,2021,2
121,721,Unser Mitteleuropa,Unser Mitteleuropa,2
3,721,Unser Mitteleuropa,2021,2
512,722,ntv,ntv,2
3,722,ntv,2021,2
710,723,bitchute,bitchute,2
11,723,bitchute,2020,2
37,724,Corona Transition,Corona Transition,2
3,724,Corona Transition,2021,2
54,725,Tichys Einblick,Tichys Einblick,2
3,725,Tichys Einblick,2021,2
727,726,Berner Zeitung,Berner Zeitung,2
11,726,Berner Zeitung,2020,2
37,728,Corona Transition,Corona Transition,2
3,728,Corona Transition,2021,2
13,729,Achgut.com,Achgut.com,2
11,729,Achgut.com,2020,2
49,730,reitschuster,reitschuster,2
3,730,reitschuster,2021,2
6,731,tp - Science & Technology,tp - Science & Technology,2
3,731,tp - Science & Technology,2021,2
10,732,Wochenblick,Wochenblick,2
3,732,Wochenblick,2021,2
27,733,Die Ostschweiz,Die Ostschweiz,2
3,733,Die Ostschweiz,2021,2
23,734,Tagesanzeiger,Tagesanzeiger,2
3,734,Tagesanzeiger,2021,2
41,735,Report24,Report24,2
3,735,Report24,2021,2
636,736,Das Schweizer Parlament,Das Schweizer Parlament,2
11,736,Das Schweizer Parlament,2020,2
92,737,Focus Online,Focus Online,2
11,737,Focus Online,2020,2
37,738,Corona Transition,Corona Transition,2
3,738,Corona Transition,2021,2
8,739,RT DE,RT DE,2
3,739,RT DE,2021,2
27,740,Die Ostschweiz,Die Ostschweiz,2
3,740,Die Ostschweiz,2021,2
41,741,Report24,Report24,2
3,741,Report24,2021,2
84,742,2020 News,2020 News,2
11,742,2020 News,2020,2
8,743,RT DE,RT DE,2
3,743,RT DE,2021,2
745,744,Kanton Zürich - Bildungsdirektiona - Verfügung,Kanton Zürich - Bildungsdirektiona - Verfügung,2
3,744,Kanton Zürich - Bildungsdirektiona - Verfügung,2021,2
420,746,ZDF,ZDF,2
3,746,ZDF,2021,2
43,747,medinside.ch,medinside.ch,2
3,747,medinside.ch,2021,2
8,748,RT DE,RT DE,2
3,748,RT DE,2021,2
84,749,2020 News,2020 News,2
11,749,2020 News,2020,2
2,750,ScienceFiles,ScienceFiles,2
3,750,ScienceFiles,2021,2
10,751,Wochenblick,Wochenblick,2
3,751,Wochenblick,2021,2
16,752,Rubikon,Rubikon,2
3,752,Rubikon,2021,2
497,753,World Health Organization,World Health Organization,2
11,753,World Health Organization,2020,2
27,754,Die Ostschweiz,Die Ostschweiz,2
11,754,Die Ostschweiz,2020,2
37,755,Corona Transition,Corona Transition,2
3,755,Corona Transition,2021,2
757,756,Global Research,Global Research,2
3,756,Global Research,2021,2
313,758,tagblatt.ch,tagblatt.ch,2
11,758,tagblatt.ch,2020,2
49,759,reitschuster,reitschuster,2
11,759,reitschuster,2020,2
10,760,Wochenblick,Wochenblick,2
3,760,Wochenblick,2021,2
8,761,RT DE,RT DE,2
11,761,RT DE,2020,2
49,762,reitschuster,reitschuster,2
11,762,reitschuster,2020,2
19,763,Epoch Times,Epoch Times,2
3,763,Epoch Times,2021,2
27,764,Die Ostschweiz,Die Ostschweiz,2
3,764,Die Ostschweiz,2021,2
10,765,Wochenblick,Wochenblick,2
3,765,Wochenblick,2021,2
767,766,Initiative Corona Info,Initiative Corona Info,2
3,766,Initiative Corona Info,2021,2
10,768,Wochenblick,Wochenblick,2
3,768,Wochenblick,2021,2
84,769,2020 News,2020 News,2
3,769,2020 News,2021,2
2,770,ScienceFiles,ScienceFiles,2
3,770,ScienceFiles,2021,2
41,771,Report24,Report24,2
3,771,Report24,2021,2
16,772,Rubikon,Rubikon,2
11,772,Rubikon,2020,2
2,773,ScienceFiles,ScienceFiles,2
3,773,ScienceFiles,2021,2
10,774,Wochenblick,Wochenblick,2
11,774,Wochenblick,2020,2
462,775,Nau,Nau,2
3,775,Nau,2021,2
663,776,Beobachter,Beobachter,2
11,776,Beobachter,2020,2
43,777,medinside.ch,medinside.ch,2
11,777,medinside.ch,2020,2
72,778,Die Welt,Die Welt,2
3,778,Die Welt,2021,2
358,779,Jouwatch,Jouwatch,2
11,779,Jouwatch,2020,2
10,780,Wochenblick,Wochenblick,2
3,780,Wochenblick,2021,2
49,781,reitschuster,reitschuster,2
3,781,reitschuster,2021,2
16,782,Rubikon,Rubikon,2
11,782,Rubikon,2020,2
710,783,bitchute,bitchute,2
11,783,bitchute,2020,2
109,784,Berliner Zeitung,Berliner Zeitung,2
3,784,Berliner Zeitung,2021,2
145,785,Nordkurier,Nordkurier,2
3,785,Nordkurier,2021,2
37,786,Corona Transition,Corona Transition,2
3,786,Corona Transition,2021,2
27,787,Die Ostschweiz,Die Ostschweiz,2
3,787,Die Ostschweiz,2021,2
46,788,NZZ,NZZ,2
11,788,NZZ,2020,2
37,789,Corona Transition,Corona Transition,2
3,789,Corona Transition,2021,2
2,790,ScienceFiles,ScienceFiles,2
3,790,ScienceFiles,2021,2
37,791,Corona Transition,Corona Transition,2
3,791,Corona Transition,2021,2
793,792,Gesundheitstipp,Gesundheitstipp,2
3,792,Gesundheitstipp,2021,2
43,794,medinside.ch,medinside.ch,2
3,794,medinside.ch,2021,2
27,795,Die Ostschweiz,Die Ostschweiz,2
3,795,Die Ostschweiz,2021,2
82,796,In$ide Paradeplatz,In$ide Paradeplatz,2
3,796,In$ide Paradeplatz,2021,2
54,797,Tichys Einblick,Tichys Einblick,2
3,797,Tichys Einblick,2021,2
183,798,corona-blog.net,corona-blog.net,2
3,798,corona-blog.net,2021,2
145,799,Nordkurier,Nordkurier,2
3,799,Nordkurier,2021,2
92,800,Focus Online,Focus Online,2
11,800,Focus Online,2020,2
8,801,RT DE,RT DE,2
3,801,RT DE,2021,2
6,802,tp - Science & Technology,tp - Science & Technology,2
3,802,tp - Science & Technology,2021,2
10,803,Wochenblick,Wochenblick,2
3,803,Wochenblick,2021,2
10,804,Wochenblick,Wochenblick,2
3,804,Wochenblick,2021,2
27,805,Die Ostschweiz,Die Ostschweiz,2
3,805,Die Ostschweiz,2021,2
8,806,RT DE,RT DE,2
11,806,RT DE,2020,2
37,807,Corona Transition,Corona Transition,2
3,807,Corona Transition,2021,2
313,808,tagblatt.ch,tagblatt.ch,2
3,808,tagblatt.ch,2021,2
27,809,Die Ostschweiz,Die Ostschweiz,2
3,809,Die Ostschweiz,2021,2
811,810,FM1 Today,FM1 Today,2
3,810,FM1 Today,2021,2
27,812,Die Ostschweiz,Die Ostschweiz,2
11,812,Die Ostschweiz,2020,2
49,813,reitschuster,reitschuster,2
3,813,reitschuster,2021,2
10,814,Wochenblick,Wochenblick,2
3,814,Wochenblick,2021,2
49,815,reitschuster,reitschuster,2
3,815,reitschuster,2021,2
817,816,BAG,BAG,2
11,816,BAG,2020,2
37,818,Corona Transition,Corona Transition,2
3,818,Corona Transition,2021,2
109,819,Berliner Zeitung,Berliner Zeitung,2
3,819,Berliner Zeitung,2021,2
84,820,2020 News,2020 News,2
3,820,2020 News,2021,2
61,821,meinbezirk.at,meinbezirk.at,2
11,821,meinbezirk.at,2020,2
16,822,Rubikon,Rubikon,2
3,822,Rubikon,2021,2
41,823,Report24,Report24,2
3,823,Report24,2021,2
512,824,ntv,ntv,2
3,824,ntv,2021,2
2,825,ScienceFiles,ScienceFiles,2
3,825,ScienceFiles,2021,2
8,826,RT DE,RT DE,2
11,826,RT DE,2020,2
265,827,Uncut-News,Uncut-News,2
3,827,Uncut-News,2021,2
27,828,Die Ostschweiz,Die Ostschweiz,2
11,828,Die Ostschweiz,2020,2
19,829,Epoch Times,Epoch Times,2
3,829,Epoch Times,2021,2
19,830,Epoch Times,Epoch Times,2
3,830,Epoch Times,2021,2
19,831,Epoch Times,Epoch Times,2
11,831,Epoch Times,2020,2
49,832,reitschuster,reitschuster,2
3,832,reitschuster,2021,2
10,833,Wochenblick,Wochenblick,2
3,833,Wochenblick,2021,2
41,834,Report24,Report24,2
3,834,Report24,2021,2
350,835,kenFM,kenFM,2
11,835,kenFM,2020,2
10,836,Wochenblick,Wochenblick,2
3,836,Wochenblick,2021,2
49,837,reitschuster,reitschuster,2
3,837,reitschuster,2021,2
6,838,tp - Science & Technology,tp - Science & Technology,2
3,838,tp - Science & Technology,2021,2
840,839,The New York Times,The New York Times,2
11,839,The New York Times,2020,2
27,841,Die Ostschweiz,Die Ostschweiz,2
11,841,Die Ostschweiz,2020,2
131,842,linth24,linth24,2
3,842,linth24,2021,2
10,843,Wochenblick,Wochenblick,2
3,843,Wochenblick,2021,2
27,844,Die Ostschweiz,Die Ostschweiz,2
3,844,Die Ostschweiz,2021,2
10,845,Wochenblick,Wochenblick,2
3,845,Wochenblick,2021,2
2,846,ScienceFiles,ScienceFiles,2
3,846,ScienceFiles,2021,2
10,847,Wochenblick,Wochenblick,2
3,847,Wochenblick,2021,2
849,848,SNA,SNA,2
3,848,SNA,2021,2
80,850,INFOsperber,INFOsperber,2
11,850,INFOsperber,2020,2
49,851,reitschuster,reitschuster,2
3,851,reitschuster,2021,2
10,852,Wochenblick,Wochenblick,2
3,852,Wochenblick,2021,2
19,853,Epoch Times,Epoch Times,2
3,853,Epoch Times,2021,2
49,854,reitschuster,reitschuster,2
11,854,reitschuster,2020,2
19,855,Epoch Times,Epoch Times,2
3,855,Epoch Times,2021,2
6,856,tp - Science & Technology,tp - Science & Technology,2
11,856,tp - Science & Technology,2020,2
230,857,ARD,ARD,2
3,857,ARD,2021,2
397,858,Weltwoche,Weltwoche,2
11,858,Weltwoche,2020,2
49,859,reitschuster,reitschuster,2
3,859,reitschuster,2021,2
99,860,Telepolis,Telepolis,2
11,860,Telepolis,2020,2
6,861,tp - Science & Technology,tp - Science & Technology,2
3,861,tp - Science & Technology,2021,2
817,862,BAG,BAG,2
11,862,BAG,2020,2
37,863,Corona Transition,Corona Transition,2
3,863,Corona Transition,2021,2
80,864,INFOsperber,INFOsperber,2
3,864,INFOsperber,2021,2
10,865,Wochenblick,Wochenblick,2
3,865,Wochenblick,2021,2
